Ticker,Enterprise Value,Enterprise Value/EBITDA,Enterprise Value/Revenue,Forward P/E,Market Cap (intraday),PEG Ratio (5 yr expected),Price/Book (mrq),Price/Sales (ttm),Trailing P/E,% Held by Insiders,% Held by Institutions,200-Day Moving Average,5 Year Average Dividend Yield %,50-Day Moving Average,52 Week High,52 Week Low,52-Week Change %,Avg Vol (10 day),Avg Vol (3 month),Beta (5Y Monthly),Book Value Per Share (mrq),Current Ratio (mrq),Diluted EPS (ttm),EBITDA,Ex-Dividend Date,Fiscal Year Ends,Float 8,Forward Annual Dividend Rate,Forward Annual Dividend Yield %,Gross Profit (ttm),Implied Shares Outstanding 6,Last Split Date,Last Split Factor,Levered Free Cash Flow (ttm),Most Recent Quarter (mrq),Net Income Avi to Common (ttm),Operating Cash Flow (ttm),Operating Margin (ttm) %,Payout Ratio %,Profit Margin %,Quarterly Earnings Growth (yoy) %,Quarterly Revenue Growth (yoy) %,Return on Assets (ttm) %,Return on Equity (ttm) %,Revenue (ttm),Revenue Per Share (ttm),S&P500 52-Week Change %,Shares Outstanding,Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Trailing Annual Dividend Rate,Trailing Annual Dividend Yield %
EL.PA,77.79B,18.71,4.58,27.62,75.82B,,2.24,4.48,56.18,0.3599,0.2646,165.6,,178.87,195.0,128.35,31.24%,680.1k,541.51k,0.92,76.81,2.26,3.05,3.68B,"May 28, 2021","Dec 31, 2020",417.53M,2.23,0.013000000000000001,8.36B,,"Jul 16, 2007",2:1,3.67B,"Jun 30, 2021",1.35B,4.4B,0.1297,0.7288,0.0796,,40.7,0.0255,0.0425,16.97B,38.86,14.94%,441.06M,9.44B,21.43,11.41B,33.2,1.08,0.63
ENEL.MI,92.90B,6.2,1.19,12.11,68.89B,1.74,2.26,0.91,32.28,0.23579999999999998,0.34850000000000003,7.41,0.044500000000000005,6.83,8.77,6.35,-21.89%,27.21M,27.08M,0.9,3.0,0.92,0.21,14.39B,"Jan 24, 2022","Dec 31, 2020",7.77B,0.38,0.0572,23.44B,,"Jul 09, 2001",1:2,-1.29B,"Sep 30, 2021",2.19B,10.01B,0.1298,1.7047999999999999,0.030299999999999997,-25.40%,74.4,0.0317,0.07339999999999999,72.46B,7.16,14.94%,10.16B,10.44B,1.03,67.58B,153.31,0.37,5.62
ENI.MI,63.60B,3.95,1.04,8.08,47.04B,,1.17,0.77,33.22,0.303,0.1679,11.31,0.0613,12.63,13.84,8.57,55.28%,19.13M,15.57M,1.2,11.26,1.23,0.4,13.56B,"Sep 20, 2021","Dec 31, 2020",2.47B,0.86,0.0638,11.55B,,"Jun 18, 2001",1:2,4.71B,"Sep 30, 2021",1.51B,8.01B,0.0892,1.675,0.0241,,83.0,0.0285,0.0397,62.62B,17.53,14.94%,3.54B,13.83B,3.87,31.42B,78.01,0.67,4.97
IBE.MC,100.15B,9.52,2.71,15.48,63.50B,2.73,1.38,1.73,19.53,0.0021,0.4213,10.22,0.0425,10.03,11.74,8.59,-12.22%,13.06M,13.84M,0.55,5.85,0.86,0.5,9.92B,"Jan 10, 2022","Dec 31, 2020",5.8B,0.42,0.0437,16.14B,,"Oct 08, 2007",4:1,,"Sep 30, 2021",3.28B,,0.1714,0.8323,0.09050000000000001,9.00%,18.9,0.031,0.07980000000000001,36.9B,5.72,14.94%,6.26B,5.42B,0.85,42.07B,80.79,0.42,4.33
IFX.DE,48.28B,16.16,4.37,21.37,45.29B,1.23,3.97,4.1,39.55,0.0,0.5821000000000001,36.3,0.011399999999999999,38.89,43.85,29.79,-5.43%,6.83M,4.39M,1.49,9.26,1.96,1.03,3.47B,"Feb 18, 2022","Sep 30, 2021",1.3B,0.27,0.008100000000000001,4.28B,,,,1.33B,"Dec 30, 2021",1.36B,3.27B,0.17800000000000002,0.25,0.1182,78.50%,20.1,0.056799999999999996,0.1243,11.59B,8.91,14.94%,1.3B,4.28B,3.29,6.99B,58.06,0.27,0.81
INGA.AS,,,,10.2,49.92B,0.61,0.9,2.83,11.49,0.0,0.5243,11.96,,12.67,13.74,7.7,67.69%,17.99M,15.04M,2.01,14.28,,1.26,,"Apr 27, 2022","Dec 31, 2021",3.78B,0.89,0.0677,17.98B,3.9B,,,,"Dec 31, 2021",4.78B,,0.3772,0.5216,0.2657,29.80%,6.5,0.0052,0.0889,17.97B,4.76,14.94%,3.78B,159.44B,42.23,179.54B,,0.62,4.71
ISP.MI,,,,11.14,52.84B,,0.79,1.58,86.56,0.0473,0.40299999999999997,2.3894,,2.3803,2.785,2.0605,27.61%,133.07M,91.7M,1.65,3.62,,0.047,,"Nov 22, 2021","Dec 31, 2021",,0.21,0.076,18.02B,,"Apr 19, 2004",43:41,,"Dec 31, 2021",4.13B,,0.3347,1.1327,0.2322,,12.4,,0.0594,18.02B,,14.94%,19.37B,87.14B,,312.42B,,0.0,0.0
ITX.MC,76.71B,11.75,2.99,19.8,80.43B,0.54,5.39,3.14,27.38,0.6435,0.155,29.91,0.018000000000000002,27.95,32.85,24.8,-3.58%,3.48M,4.16M,1.21,4.79,1.49,0.94,5.44B,"Oct 29, 2021","Jan 31, 2021",1.11B,0.57,0.022799999999999997,10.81B,,"Jul 28, 2014",5:1,,"Oct 31, 2021",2.94B,,0.1718,0.23329999999999998,0.11449999999999999,41.80%,22.1,0.0946,0.2021,25.64B,8.23,14.94%,3.11B,9.58B,3.08,5.86B,39.2,0.0,0.0
KER.PA,86.52B,14.07,5.49,21.93,81.81B,1.4,6.54,5.22,24.68,0.4171,0.2594,697.86,0.0152,688.81,798.0,513.3,19.23%,198.37k,188.18k,0.99,100.37,1.47,26.87,4.99B,"Jan 13, 2022","Dec 31, 2020",72.22M,9.0,0.0138,9.51B,,,,3.21B,"Jun 30, 2021",3.34B,4.65B,0.2803,0.2994,0.21289999999999998,442.60%,49.6,0.0984,0.2963,15.77B,126.25,14.94%,124.07M,4.79B,38.42,9.82B,76.89,9.0,1.38
KNEBV.HE,26.71B,16.85,2.54,28.01,29.05B,4.25,9.15,2.76,28.61,0.2781,0.3663,64.41,0.0319,60.32,73.86,54.22,-16.73%,795.04k,750.99k,0.59,6.13,1.21,1.96,1.48B,"Mar 02, 2022","Dec 31, 2021",351.46M,1.75,0.0316,5.43B,518.17M,"Dec 03, 2013",2:1,1.27B,"Dec 31, 2021",1.01B,1.58B,0.1246,0.8929,0.0965,-2.60%,5.6,0.08839999999999999,0.31980000000000003,10.51B,20.3,14.94%,441.96M,2.88B,5.57,552.2M,17.26,1.75,3.16
